species	S_1	S_2	S_3	EstPi_1	EstPi_2	EstPi_3	EstTheta_1	EstTheta_2	EstTheta_3	Nind	size	EstPi	EstTheta	subPi_min	subPi_mean	subPi_max	subPi_upper.CI	subPi_lower.CI	subPi_sd	subPi_se	subTheta_min	subTheta_mean	subTheta_max	subTheta_upper.CI	subTheta_lower.CI	subTheta_sd	subTheta_se	outPi	outTheta
Acomys_percivali	62	23	206	0.0473924347677687	0.0131860116985414	0.199591004009013	0.0404957319351258	0.0150229421570253	0.134640180175757	41	1140	0.0867231501584411	0.0633707882026819	0.007250656167979	0.0891841922228017	0.152422764227642	0.0908669401763535	0.0875014442692499	0.0271171779560594	0.000857520460572571	0.00801518666947904	0.0847977173997985	0.148789608344814	0.0862684513690123	0.0833269834305847	0.0237006110659719	0.000749479129062624	in	in
Acomys_spinosissimus	50	9	211	0.0514095845674793	0.00767638793954583	0.236122503227766	0.0442885589423201	0.00797359164855443	0.187003157164187	12	1140	0.0984028252449305	0.0797398964781306	0.0433918128654971	0.0995941214010536	0.120526315789474	0.100443543913443	0.0987446988886647	0.0136882896691185	0.000432861726265671	0.0443991392003629	0.0940089139585133	0.114840924863938	0.094817430570702	0.0932003973463246	0.0130290985093007	0.000412016271480946	in	in
Acomys_wilsoni	60	18	210	0.0204539929976127	0.00707559156084162	0.0944240140865499	0.0357229551786192	0.0107168502098153	0.125352482937863	56	1139	0.0406039890000132	0.0572056673631428	0.00848697688030436	0.043050911016126	0.108685235100329	0.0443066733477715	0.0417951486844806	0.0202363821307109	0.000639930591345777	0.00855784469096682	0.0444932150035673	0.103720226240741	0.0457881750348209	0.0431982549723136	0.0208680459479213	0.000659905555124788	in	in
Aegialomys_xanthaeolus	13	4	60	0.019349164467898	0.00545294635004398	0.0927000879507476	0.0178899082568807	0.00550458715596329	0.0825972238155326	5	1137	0.0391673995895632	0.0353251519669691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aepyceros_melampus	11	6	45	0.0122556390977444	0.00525191606985802	0.0563661492421387	0.010986490464662	0.00599589871631642	0.0451713569429054	24	1138	0.0246136991303951	0.0206796246720332	0	0.00861332938989692	0.0467372134038801	0.00936917662286584	0.007857482156928	0.0121803410194326	0.000385176202989843	0	0.00753568294173462	0.0365053103485082	0.00813410939759584	0.00693725648587339	0.00964353375854704	0.000304955313697329	in	in
Aethalops_alecto	10	3	34	0.0127645502645503	0.00180776014109347	0.0527777777777778	0.0146694675976126	0.00440084027928378	0.0500463834945916	16	1134	0.0224500293944738	0.0230082474272292	0.00969387755102041	0.0240627204585538	0.0331632653061225	0.0242923211862965	0.0238331197308111	0.00369997406913963	0.000117003453420425	0.00857142857142853	0.0234177294390809	0.0330612244897958	0.0236226324738211	0.0232128264043408	0.00330197522751807	0.000104417624964098	in	in
Aethomys_chrysophilus	37	10	162	0.017905219334609	0.00122301501184176	0.0839303489864332	0.0203402317052347	0.00549761515759608	0.0890709785821064	73	1140	0.0343528611109613	0.0383008373861528	0.0105263157894737	0.0344565137097951	0.0510114335971856	0.0349092489528551	0.0340037784667352	0.00729574629826322	0.000230711755332539	0.0118832891246685	0.0343657616644844	0.0492164828787005	0.0348036380645284	0.0339278852644404	0.00705629873902928	0.000223139758659066	in	in
Aethomys_ineptus	4	1	14	0.00291545189504373	0.000324886289798571	0.0129572296754959	0.00625796075931785	0.00156694165467624	0.0219371831654674	18	1027	0.00539677084725484	0.00991878309481789	0.002710027100271	0.00787456023040519	0.0146341463414634	0.00800165401319411	0.00774746644761627	0.00204809324992576	6.47663953018187e-05	0.00262381108560183	0.00856240429563328	0.0144309609708101	0.00869369981566261	0.00843110877560396	0.00211580348319756	6.6907580882221e-05	in	in
Aethomys_kaiseri	32	12	151	0.0432080200501253	0.0169423558897243	0.201365914786967	0.0358416248203249	0.0134368468199461	0.169212954316236	7	1140	0.087172096908939	0.0728087370484445	0.0659649122807018	0.0872736995107024	0.0960818713450292	0.0877444440078501	0.0868029550135547	0.00758596216031373	0.000239889186704428	0.0627225210211355	0.0792307134963325	0.087474847184784	0.0796712136365552	0.0787902133561099	0.00709857983596063	0.0002244768043418	in	in
Aethomys_namaquensis	32	13	141	0.0138089449170717	0.00211417287789406	0.0851493518198506	0.0227620865393949	0.00926525170063767	0.10055062183465	140	1140	0.0336908232049388	0.0441677527103334	0.0149443561208267	0.0367800345857927	0.0484358144552319	0.0370863160871705	0.0364737530844149	0.0049356708234177	0.000156079615828387	0.0168528566868816	0.0377608012355476	0.0507621030014101	0.0381034978918263	0.037418104579269	0.00552249443753014	0.000174636607882057	in	in
Ailuropoda_melanoleuca	14	5	59	0.00418272096553165	0.000869543842830719	0.0161701356242587	0.00863536292218059	0.00308405818649307	0.0363918866006182	42	1134	0.00707413347754037	0.0160371025697636	0.00141093474426808	0.00727904174015285	0.0231040564373898	0.00756712113944787	0.00699096234085783	0.00464234725091716	0.000146803910023194	0.0016931216931217	0.00801070146395303	0.0231765507839129	0.00834106817054893	0.00768033475735712	0.00532379953552129	0.000168353323383938	in	in
Ailurus_fulgens	1	0	3	0.00298507462686567	0	0.0104477611940298	0.0035820895522388	0	0.0107462686567164	5	402	0.00447761194029851	0.00477611940298505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Akodon_aerosus	27	5	102	0.0300724637681159	0.00489130434782609	0.122282608695652	0.0333903580188386	0.00618339963311827	0.12621159001856	6	1104	0.0524154589371981	0.0552486187845299	0.0386473429951691	0.0519071256038647	0.0580917874396135	0.0523810182774411	0.0514332329302884	0.00763669445226059	0.000241493482639155	0.0408272487480413	0.0535740106622239	0.0595454545454551	0.0540257545495325	0.0531222667749153	0.00727977078020052	0.000230206565093747	in	in
Akodon_albiventer	6	4	28	0.00460992907801418	0.00351654846335697	0.0227836879432624	0.00582552999993837	0.00388608077573575	0.0272055021740112	10	1128	0.0103033884948779	0.012303836931503	0.00531914893617021	0.0104285535685069	0.0146439317953862	0.0105311846052296	0.0103259225317843	0.00165388053555464	5.23002947017175e-05	0.00543642404107527	0.011148610162345	0.0150216220317125	0.0112703647118821	0.0110268556128079	0.00196205247481633	6.20455470918975e-05	in	in
Akodon_azarae	15	4	56	0.0218297101449275	0.00706521739130435	0.0857789855072464	0.0202315387209171	0.00539507699224456	0.0755650511638364	5	1104	0.0382246376811594	0.0337242852325105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Akodon_boliviensis	5	2	33	0.0048216976393772	0.00100452034153692	0.0353815159909343	0.00523358616538877	0.00209277730233531	0.034619376276735	11	1085	0.0137159614578969	0.0139652169118222	0.00574282147315855	0.0141154853354225	0.0192259675405743	0.0142958101137655	0.0139351605570795	0.00290590108512235	9.18926608414146e-05	0.00614517987453596	0.0143423437985894	0.0192201811902499	0.0145139843037279	0.0141707032934509	0.00276595559809474	8.74671959687267e-05	in	in
Akodon_cursor	7	2	32	0.00842391304347826	0.00217391304347826	0.0488224637681159	0.0093812821085548	0.00268036631672994	0.0429722470904206	5	1104	0.0198067632850242	0.0183281180151991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Akodon_dolores	2	0	15	0.0015527950310559	0	0.0134575569358178	0.00221827861579413	0	0.016637089618456	7	1104	0.00500345065562457	0.00628512274475013	0.00344202898550725	0.00503315217391304	0.00597826086956522	0.00507426899644226	0.00499203535138383	0.000662590134879745	2.09529398137817e-05	0.00391304347826089	0.00564478260869568	0.00695652173913047	0.00569495558461338	0.00559460963277798	0.000808528403599447	2.55679130831414e-05	in	in
Akodon_fumeus	4	2	31	0.00389492753623188	0.000905797101449275	0.0311672584152148	0.00367178774205717	0.00183589387102859	0.0285354577768902	12	1103	0.0119719406210793	0.0113318164656296	0.00308250226654578	0.0119029313992143	0.0157147174372922	0.0120243075281179	0.0117815552703107	0.00195595429496715	6.185270571285e-05	0.00318302387267907	0.0115112326592295	0.0149360690981784	0.0116188207827729	0.0114036445356861	0.00173376309026335	5.48264028836427e-05	in	in
Akodon_iniscatus	1	0	21	0.000354609929078014	0	0.0150095238095238	0.000969640555811974	0	0.0203935257128628	15	1127	0.00511260404783031	0.00711431081725207	0	0.00588960693543009	0.0107365792759051	0.00600898022451817	0.00577023364634201	0.00192367889473232	6.08320679414943e-05	0	0.00618986147601421	0.0108124342994445	0.00631873959180327	0.00606098336022514	0.00207684745247624	6.56756830254324e-05	in	in
Akodon_lutescens	2	0	27	0.0020703933747412	0	0.0326086956521739	0.00222370469201689	0	0.0301048093362073	7	1104	0.011559696342305	0.0107586718605083	0.00507246376811594	0.0114513586956522	0.013737922705314	0.0115855843871292	0.0113171330041751	0.00216302266443147	6.84007825016952e-05	0.00434782608695654	0.0112081601073121	0.0126891522333638	0.0113221244890921	0.0110941957255321	0.00183651533484686	5.80757141594288e-05	in	in
Akodon_mollis	15	3	83	0.0159420289855072	0.00326086956521739	0.0923007246376812	0.0180650341228421	0.00361300682456841	0.099959855479726	6	1104	0.0371678743961353	0.0405459654757126	0.0213164251207729	0.0372780797101449	0.0416062801932367	0.0377204090158263	0.0368357504044636	0.00712805650544615	0.000225408938475902	0.0203472299015815	0.0394289511962542	0.0446754395665158	0.0399541411465466	0.0389037612459618	0.00846334075923449	0.000267634334133197	in	in
Akodon_montensis	19	8	63	0.00965372237274615	0.00401900326415345	0.0377514041514041	0.0154218618766921	0.00649346958445933	0.0512633876018798	17	1127	0.0171230890827425	0.0243706184409892	0.00458444247264123	0.0172909859147523	0.0319746376811594	0.0176675654806531	0.0169144063488515	0.00606851137842314	0.000191903179624651	0.0044632894443205	0.0184924758928419	0.0317598261900064	0.018879499218573	0.0181054525671108	0.00623681067318801	0.000197225270625221	in	in
Akodon_mystax	14	5	87	0.015625	0.00533773291925466	0.0998641304347826	0.0148275914242052	0.00529316576682847	0.0922985988496773	8	1104	0.0402756211180124	0.0374374046090388	0.00110599078341014	0.0401877137180258	0.0560688405797101	0.0411654026902666	0.0392100247457849	0.0157552803971455	0.000498225712295819	0.000885086295913857	0.040402120956258	0.0465337479421989	0.0412352762237215	0.0395689656887946	0.0134261459686503	0.000424572014588226	in	in
Akodon_orophilus	19	2	95	0.0183747412008282	0.0020703933747412	0.103357919254658	0.0214811783960719	0.00226126797909941	0.107423242189603	8	1104	0.0412676846100759	0.0437190245058044	0.00320048309178744	0.0416236717867443	0.0633726201269266	0.0425159937174926	0.040731349855996	0.0143796060123698	0.000454723068549401	0.00330033003300333	0.0412971598383451	0.0566711839349518	0.0420836273081209	0.0405106923685693	0.0126737805798826	0.000400780131976385	in	in
Akodon_paranaensis	10	2	64	0.00636021587108544	0.00126811594202899	0.045701581027668	0.00835816153715542	0.00167263492445662	0.0535040913031964	16	1104	0.0177766376135941	0.02117980572817	0.00625	0.0178241399556621	0.0254227053140097	0.0180092830676142	0.01763899684371	0.00298354765700175	9.43480610378434e-05	0.00584466674159834	0.0185522197255788	0.0269753849612231	0.0187557196810882	0.0183487197700694	0.00327936486028759	0.000103702622372286	in	in
Akodon_simulator	5	2	23	0.00561594202898551	0.00235507246376812	0.0329710144927536	0.00603803964979364	0.00241521585991746	0.0277749823890508	6	1104	0.0136473429951691	0.0120760792995874	0.012469806763285	0.0136521437198068	0.0147342995169082	0.0137018721160885	0.013602415323525	0.000801364083429592	2.53413573869071e-05	0.012279355333845	0.0127569294498257	0.0133244503664225	0.0127776964703797	0.0127361624292716	0.000334656768289214	1.05827762218513e-05	in	out
Akodon_spegazzinii	16	10	100	0.00615466073426432	0.00176325609751031	0.0407024361936089	0.0102719103865037	0.00642001656250805	0.0642834497486428	56	1104	0.0162067843417945	0.0269756175768266	0.00165898617511521	0.0142309405175264	0.0381259600614439	0.0146396508550845	0.0138222301799683	0.00658629293391841	0.00020827687008255	0.00204918032786887	0.014737239644738	0.0384172109104882	0.015169572314339	0.014304906975137	0.00696696252878734	0.000220314699640144	in	in
Akodon_torques	6	3	41	0.00623706004140787	0.00341614906832298	0.0416149068322981	0.00697080009294396	0.00348540004647198	0.0476476398923083	7	1104	0.0170893719806763	0.0193652084664687	0.00697463768115942	0.017043327294686	0.0230978260869565	0.0173349529760964	0.0167517016132756	0.0046994949437734	0.000148611078747689	0.00815709969788526	0.017948746051295	0.0235543516664706	0.0182196251048543	0.0176778669977357	0.00436516680019281	0.000138038694551584	in	in
Alcelaphus_buselaphus	9	5	90	0.0106511740498669	0.00496247881868797	0.0917193943104307	0.00928630055222802	0.00515963894226057	0.0929870487989093	20	1134	0.0357776823929952	0.0357867150130554	0	0.0262636657268371	0.0515044247787611	0.0270002320761425	0.0255270993775317	0.0118696330774913	0.000375350755153465	0	0.0265164299420849	0.0493124703651018	0.0271811477228618	0.025851712161308	0.0107118064317585	0.000338737061791978	in	in
Alces_alces	3	0	45	0.00140056022408964	0	0.0224024795103226	0.00236040058567743	0	0.0354060087851614	18	1134	0.00793434657813743	0.0125888031236135	0.000705467372134039	0.00764556143445032	0.0211052322163433	0.00796903321280646	0.00732208965609419	0.0052126890179435	0.000164839700308478	0.000846560846560849	0.00854615026006928	0.0229474757776646	0.00893770108685721	0.00815459943328134	0.00630977053125484	0.00019953246391776	in	in
Allactaga_elater	45	7	236	0.0342950062355451	0.00122120385517872	0.230633258095964	0.0302483782302487	0.00470530328026091	0.158696742226734	50	1113	0.0887164893955624	0.0645381159349314	0.00677344010677344	0.0870685713691827	0.124136384028712	0.0881238849861326	0.0860132577522328	0.0170061874625251	0.000537782866973787	0.00653622156115146	0.08392667775163	0.116772925554864	0.0849008202366106	0.0829525352666494	0.0156981293984165	0.000496418439030449	in	in
Allactaga_euphratica	31	2	221	0.0249110937635528	0.000767629456154046	0.209753503243708	0.0246511943785971	0.00159007354846741	0.176085977368551	21	1098	0.0784774088211382	0.0673665410406333	0.00309653916211293	0.0776367164964803	0.121573989668794	0.0792644729388088	0.0760089600541518	0.0262309997302787	0.000829497044509431	0.00339984619743396	0.0745904056851101	0.114224054876875	0.0760106226743067	0.0731701886959136	0.0228865390987235	0.000723735913104634	in	in
Allactaga_firouzi	1	0	4	0.00134228187919463	0	0.00536912751677852	0.00161073825503356	0	0.00644295302013423	5	894	0.00223713646532438	0.00268456375838929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allactaga_sibirica	11	4	67	0.0077473977210125	0.00150772710139465	0.0517440343297863	0.0101654831439906	0.00369653932508749	0.0619941932291569	14	1137	0.0203330530507312	0.0252701693511289	0.00562347188264059	0.0212539022088749	0.0267379679144385	0.0214495371513264	0.0210582672664234	0.00315262160187686	9.96946486257943e-05	0.00645476772616143	0.0225503022815307	0.0299266503667485	0.0227521810752726	0.0223484234877888	0.00325324013254568	0.000102876485943124	in	in
Allactaga_toussi	10	2	66	0.00693345791385007	0.00220675220675221	0.0477704829228571	0.00907021669048105	0.00181474621938885	0.0600507734778568	18	998	0.0189413730466424	0.0236101641906822	0.0033811098860713	0.0195271730274281	0.0435869165747887	0.0203083649437349	0.0187459811111214	0.0125887659929174	0.000398091734684902	0.00267010813937967	0.0206961440925933	0.0382362588444782	0.0215501235530989	0.0198421646320876	0.0137617240612136	0.000435183925641774	in	in
Allactaga_williamsi	27	7	152	0.00619271736437949	0.00042861953892784	0.056587992363419	0.016802013471343	0.00435607756664449	0.0946733003852399	89	1101	0.0210697764222421	0.0385938410640643	0.00653153153153153	0.0248458937313749	0.044568868980963	0.0253195405720691	0.0243722468906806	0.00763273289996957	0.00024136820735606	0.00703272923992435	0.026590128044465	0.0458221024258766	0.027080724947852	0.026099531141078	0.00790588008486772	0.000250005879763473	in	in
Alouatta_belzebul	47	12	175	0.00623241674313134	0.00267093425457944	0.0362312298327391	0.0258324963494827	0.0065948749593735	0.0961816946200497	71	1137	0.0150448602768166	0.0428690645734227	0.00141093474426808	0.0140370936797142	0.0879188712522046	0.0151673933544091	0.0129067940050193	0.0182145741777216	0.000575995410116887	0.00133853876185166	0.0157257045719666	0.0819127264929776	0.0170284390498155	0.0144229700941177	0.0209933297442189	0.000663867376626916	in	in
Alouatta_caraya	9	3	21	0.00282160543273136	0.000327756881678175	0.0076528086695067	0.00538090812949122	0.00179376074004357	0.0125566081344185	50	1137	0.00360072366130541	0.00657701970078591	0.000352733686067019	0.00363422023706547	0.00837742504409171	0.00373676400018224	0.0035316764739487	0.00165247413723021	5.22558204816911e-05	0.000423280423280424	0.00390619342057667	0.00834675647971893	0.0040152689236111	0.00379711791754225	0.00175773194089353	5.558436449252e-05	in	in
Alouatta_guariba	7	5	20	0.00365853811578723	0.0027547003950861	0.0152846055864268	0.004742554991243	0.00338895789385513	0.0135894966982771	44	1139	0.00722554534801372	0.00723474111602604	0	0.00826014149092201	0.0142060367454068	0.00844020377161465	0.00808007921022937	0.00290167098311433	9.17588932706126e-05	0	0.00825421870786014	0.0133278486219665	0.00841340280783507	0.0080950346078852	0.00256522288895629	8.11194703509906e-05	in	in
Alouatta_palliata	1	2	4	0.00124843945068664	0.00324594257178527	0.00404840931156721	0.00124602046284702	0.00249204092569404	0.00499830242192673	37	800	0.0028460960960961	0.00291014094129472	0	0.000924524509803922	0.006	0.00102096019135517	0.000828088828252673	0.0015540435110436	4.91431707790281e-05	0	0.000944940099251071	0.00530269553689791	0.00104138808906096	0.000848492109441176	0.00155424185639848	4.91494430098755e-05	in	in
Alouatta_pigra	1	0	1	0.00193210867368171	0	0.000268528464017186	0.00177958555566477	0	0.00178275812627554	28	800	0.000734126984126984	0.0011870945492142	0	0.00192799673202614	0.00326797385620915	0.00197121318793191	0.00188478027612037	0.000696425345788367	2.20229031296159e-05	0	0.00178494485023351	0.00313725490196078	0.0018278670285426	0.00174202267192441	0.000691683115711226	2.18729406472927e-05	in	in
Alouatta_seniculus	10	1	67	0.0111214856312896	0.000816993464052288	0.0775491687016823	0.00902636946578302	0.000902984996918236	0.0605534631985789	21	1134	0.0298292159323414	0.0234815031700163	0.00102722136620442	0.0274157099576922	0.0399881164587047	0.0278679171692315	0.026963502746153	0.00728723716611309	0.000230442672947481	0.000790565913433031	0.0252881841479587	0.0354554268039334	0.0256452681348868	0.0249311001610305	0.0057543436605294	0.000181968324066237	in	in
Alticola_barakshin	11	1	16	0.00402032229896007	0.000198459950781932	0.00863190821284877	0.00641008216214414	0.000582726656892435	0.00934824261026213	52	1139	0.00427974580120425	0.00544358538260733	0.000351185250219491	0.00431613308237398	0.0077260755048288	0.00439337904687131	0.00423888711787665	0.00124480470247507	3.93641810190947e-05	0.000424328147100426	0.00433009364882006	0.00801828732196239	0.00440576117304202	0.00425442612459811	0.00121936842382736	3.855981526184e-05	in	in
Alticola_lemminus	24	6	122	0.0182197664592961	0.00332201978299982	0.127995112235565	0.0169357643606681	0.00423535573163237	0.0863278668043755	32	1139	0.0497770204647511	0.0357901182091318	0.00308422301304864	0.0505386895926348	0.0722713864306785	0.0512565485002154	0.0498208306850542	0.0115681660483479	0.000365817530638089	0.00308721378955494	0.048116165221239	0.0667803068284371	0.0487073721491621	0.047524958293316	0.00952719237572427	0.000301276276138794	in	in
Alticola_macrotis	13	1	109	0.0114458932879986	0.0010233918128655	0.0914884530674004	0.0114020203852064	0.000877142601412172	0.0956940221304352	14	1140	0.0346525793894215	0.0359726810330762	0.00617944147355912	0.0351287970086114	0.0642348754448399	0.0363059718687401	0.0339516221484827	0.0189699592860186	0.000599882784644802	0.00625275562146787	0.0360085955732036	0.060094593341371	0.0371695118332761	0.034847679313131	0.0187079548960516	0.000591597478352216	in	in
Alticola_semicanus	2	2	30	0.000888585099111415	0.000888585099111415	0.0193835429750376	0.00148155168041482	0.00148105100746835	0.0222740944814127	22	1139	0.00704274579707106	0.00840090187644101	0.00245829675153644	0.00694900222283912	0.0115305823822066	0.0070436753274998	0.00685432911817845	0.00152563990425147	4.82449698667586e-05	0.00232261061433053	0.00712570099796526	0.0114298274535664	0.0072269073478414	0.00702449464808912	0.0016309219655158	5.15742809702853e-05	in	in
Alticola_stoliczkanus	7	3	40	0.00716180371352785	0.00309460654288241	0.0395390070921986	0.00833283733111116	0.00357206644043576	0.0477459913261445	6	1130	0.0165781710914454	0.0198596584138752	0.00268336314847943	0.0159234767098854	0.0195870206489675	0.0163246750621933	0.0155222783575776	0.00646523865457434	0.000204448797650175	0.00220466654418521	0.0179843717254706	0.0219306261193759	0.0184620205553633	0.0175067228955778	0.00769722422978798	0.000243407602271653	in	in
Alticola_strelzowi	4	3	25	0.00421052631578947	0.00222672064777328	0.0218117854001759	0.00362503332673471	0.00271787186057773	0.0227010331263104	13	1139	0.00940546138087841	0.00967201474432711	0.00511033681765389	0.00959872348354638	0.0120789779326365	0.00968061582852466	0.0095168311385681	0.0013196802808928	4.17319547083204e-05	0.00551571980143415	0.0100241759624977	0.0137892995035854	0.0101237193681301	0.00992463255686538	0.00160412392074947	5.07268523872775e-05	in	in
Amblysomus_hottentotus	20	2	103	0.0152101661779081	0.00231440619790134	0.108626720277206	0.0221615223206983	0.00221785496460673	0.115065942591156	11	928	0.0420215081853013	0.0463069950905764	0.0200790229885057	0.0416848963963964	0.0575790229885058	0.0422977360231644	0.0410720567696284	0.00987579939260382	0.000312300197955355	0.0220491731560069	0.0414613730215528	0.0570071258907371	0.0421010575576926	0.040821688485413	0.0103084002364276	0.000325980237797295	in	in
Ammospermophilus_leucurus	4	3	16	0.00827436037016875	0.00326619488296135	0.0378970427163198	0.00818100140976185	0.00613700622873661	0.0329279945120009	11	500	0.0164363636363636	0.0157137729213413	0.0036	0.0164278	0.0204	0.0166470755980438	0.0162085244019562	0.00353358647741829	0.000111741815778129	0.00383999999999997	0.0158030829368386	0.0182750881692849	0.0159654869039301	0.0156406789697472	0.00261711046333061	8.27602995238331e-05	in	in
Ammotragus_lervia	26	12	101	0.0207978279030911	0.00986723625246053	0.0874188549650291	0.0268025009122339	0.0123815532871508	0.104270109235352	11	1138	0.0393449940022875	0.0478011380950435	0.00123456790123457	0.0408967919231826	0.0972775564409031	0.0424866937839609	0.0393068900624043	0.0256209800168795	0.000810206527389984	0.00185538318816677	0.0405841249033868	0.0792343106372665	0.0420441011696397	0.0391241486371339	0.0235272526346199	0.000743997054115963	in	in
